year,wareki,month,day,text,forTransText,english,ov150words
574,(敏達3),5,5,高麗使，越の海岸に来着〔日本書紀〕.,高麗使，越の海岸に来着,,2
587,(用明2),7,,蘇我馬子・聖徳太子ら，物部守屋を滅ぼす.この時，太子，四天王寺建立を発願.,蘇我馬子・聖徳太子ら，物部守屋を滅ぼす.この時，太子，四天王寺建立を発願.,,2
589,(崇峻2),7,1,阿倍臣を北陸道に派遣して，越など諸国の境を調べさせる〔日本書紀〕.,阿倍臣を北陸道に派遣して，越など諸国の境を調べさせる,,2
592,(崇峻5),11,3,蘇我馬子，崇峻天皇を殺害.,蘇我馬子，崇峻天皇を殺害.,,2
593,(推古1),4,10,聖徳太子を皇太子とし，摂政に任じる.,聖徳太子を皇太子とし，摂政に任じる.,,2
595,(推古3),,,この年，越前国角鹿（敦賀）郡天筒山の嶺上に奇雲たなびく.その日14代帝（仲哀）を気比社に祀れとの託宣ありと伝える〔気比宮社記〕.,この年，越前国角鹿（敦賀）郡天筒山の嶺上に奇雲たなびく.その日14代帝（仲哀）を気比社に祀れとの託宣ありと伝える,,2
598,(推古6),10,10,越国，白鹿1頭を献上〔日本書紀〕.,越国，白鹿1頭を献上,,2
600,(推古8),,,この年，隋の都に使を派遣する〔隋書倭国伝〕.,この年，隋の都に使を派遣する,,2
603,(推古11),12,5,冠位十二階を制定.,冠位十二階を制定.,,2
604,(推古12),4,3,聖徳太子，「憲法十七条」を作る.,聖徳太子，「憲法十七条」を作る.,,2
607,(推古15),7,3,小野妹子を隋に派遣（第2次遣隋使）.,小野妹子を隋に派遣（第2次遣隋使）.,,2
608,(推古16),9,11,4月に裴世清とともに帰国した小野妹子を，裴世清の帰国に際し隋に派遣.一緒に学生高向玄理ら4人，学問僧旻ら4人を留学させる(第3次遣隋使).,4月に裴世清とともに帰国した小野妹子を，裴世清の帰国に際し隋に派遣.一緒に学生高向玄理ら4人，学問僧旻ら4人を留学させる(第3次遣隋使).,,2
630,(舒明2),8,5,犬上御田鍬・薬師恵日を唐に派遣（第1次遣唐使.旧唐書倭国伝では翌年入唐）.,犬上御田鍬・薬師恵日を唐に派遣（第1次遣唐使.旧唐書倭国伝では翌年入唐）.,,2
642,(皇極1),9,3,百済大寺の造営に際し，近江と越の人夫を徴発するとの詔を出す〔日本書紀〕.,百済大寺の造営に際し，近江と越の人夫を徴発するとの詔を出す,,2
642,(皇極1),9,21,越辺境の蝦夷数千人が帰服〔日本書紀〕.,越辺境の蝦夷数千人が帰服,,2
642,(皇極1),10,12,蝦夷を朝廷で饗応〔日本書紀〕.,蝦夷を朝廷で饗応,,2
642,(皇極1),10,15,大臣蘇我蝦夷，蝦夷を自宅で饗応〔日本書紀〕.,大臣蘇我蝦夷，蝦夷を自宅で饗応,,2
643,(皇極2),11,1,蘇我入鹿，山背大兄王らを斑鳩宮に襲う.山背大兄王，生駒山に隠れるが，のち斑鳩寺に戻り一族とともに自殺.,蘇我入鹿，山背大兄王らを斑鳩宮に襲う.山背大兄王，生駒山に隠れるが，のち斑鳩寺に戻り一族とともに自殺.,,2
644,(皇極3),,,,0,,2
645,大化1,6,12,中大兄皇子・中臣鎌子ら，飛鳥板蓋宮で蘇我入鹿を殺す.,中大兄皇子・中臣鎌子ら，飛鳥板蓋宮で蘇我入鹿を殺す.,,2
645,大化1,6,14,孝徳天皇即位.中大兄皇子を皇太子とし，初めて左大臣・右大臣・内臣を立て，国博士を置き，新政治体制始まる.,孝徳天皇即位.中大兄皇子を皇太子とし，初めて左大臣・右大臣・内臣を立て，国博士を置き，新政治体制始まる.,,2
645,大化1,6,19,初めて年号を立て，大化とする.,初めて年号を立て，大化とする.,,2
645,大化1,12,9,孝徳天皇，都を難波長柄豊碕に移す.,孝徳天皇，都を難波長柄豊碕に移す.,,2
645,大化1,12,24,越国，海畔の浮木が東へ移ることを報告〔日本書紀〕.,越国，海畔の浮木が東へ移ることを報告,,2
646,大化2,1,1,改新の詔を下す.公地公民の制，行政組織と交通制度，戸籍・徴税・班田収授の法，田調などの税制の4か条を定める.,改新の詔を下す.公地公民の制，行政組織と交通制度，戸籍・徴税・班田収授の法，田調などの税制の4か条を定める.,,2
646,大化2,3,19,前年8月に東国に派遣した国司らの命令違反を糺した時，平群臣は三国の人の訴えをとりあげなかったと責められる〔日本書紀〕.,前年8月に東国に派遣した国司らの命令違反を糺した時，平群臣は三国の人の訴えをとりあげなかったと責められる,,2
646,大化2,,,この年越国の鼠が昼夜相連なり，東方に移動〔日本書紀〕.,この年越国の鼠が昼夜相連なり，東方に移動,,2
647,大化3,,,この年渟足柵をつくる.,この年渟足柵をつくる.,,2
648,大化4,,,この年蝦夷に備えて磐舟柵をつくり，越と信濃の民を選んで柵戸とする〔日本書紀〕.,この年蝦夷に備えて磐舟柵をつくり，越と信濃の民を選んで柵戸とする,,2
649,大化5,3,24,右大臣蘇我倉山田石川麻呂の謀叛の虚実について，三国公麻呂らを派遣して取調べる〔日本書紀〕.,右大臣蘇我倉山田石川麻呂の謀叛の虚実について，三国公麻呂らを派遣して取調べる,,2
650,白雉1,2,15,三国公麻呂らが穴戸(長門)国から進上された白雉の輿をもって天皇の殿舎の前に出る〔日本書紀〕.,三国公麻呂らが穴戸(長門)国から進上された白雉の輿をもって天皇の殿舎の前に出る,,2
651,白雉2,12,30,孝徳天皇，難波長柄豊碕宮に移る.,孝徳天皇，難波長柄豊碕宮に移る.,,2
652,白雉3,1,,班田を完了.,班田を完了.,,2
653,白雉4,,,,0,,2
654,白雉5,,,孝徳天皇の頃，加我(加賀)国造は越前国に属する〔国造本紀〕.,孝徳天皇の頃，加我(加賀)国造は越前国に属する,,2
655,(斉明1),7,11,越と陸奥の蝦夷を難波の朝廷で饗応〔日本書紀〕.,越と陸奥の蝦夷を難波の朝廷で饗応,,2
656,(斉明2),,,,0,,2
657,(斉明3),,,,0,,2
658,(斉明4),,,この年阿倍臣，蝦夷を討つ〔日本書紀〕.／越国守阿倍引田臣比羅夫が粛慎を討ち，生羆2・羆皮70枚を献上〔日本書紀〕.,この年阿倍臣，蝦夷を討つ,,2
659,(斉明5),3,17,甘梼丘の東の川辺で越と陸奥の蝦夷を饗応〔日本書紀〕.,甘梼丘の東の川辺で越と陸奥の蝦夷を饗応,,2
659,(斉明5),3,,蝦夷を討った阿倍臣に位二階を授ける〔日本書紀〕.,蝦夷を討った阿倍臣に位二階を授ける,,2
660,(斉明6),3,,阿倍臣，粛慎を討つ〔日本書紀〕.,阿倍臣，粛慎を討つ,,2
660,(斉明6),7,18,百済滅亡.,百済滅亡.,,2
661,(斉明7),7,24,斉明天皇，死去.中大兄皇子，称制.,斉明天皇，死去.中大兄皇子，称制.,,2
662,(天智1),,,この年百済復興のため，軍備・兵を整え船舶・軍粮を備える.,この年百済復興のため，軍備・兵を整え船舶・軍粮を備える.,,2
663,(天智2),8,,百済復興をはかる日本軍と百済軍が唐軍・新羅軍と白村江で戦い，大敗.,百済復興をはかる日本軍と百済軍が唐軍・新羅軍と白村江で戦い，大敗.,,2
664,(天智3),,,この年対馬・壱岐・筑紫に防人と烽を置き，筑紫に水城をつくる.,この年対馬・壱岐・筑紫に防人と烽を置き，筑紫に水城をつくる.,,2
665,(天智4),,,,0,,2
666,(天智5),,,,0,,2
667,(天智6),3,19,都を近江大津宮に移す.,都を近江大津宮に移す.,,2
668,(天智7),1,3,中大兄皇子，即位（天智天皇）.,中大兄皇子，即位（天智天皇）.,,2
668,(天智7),2,23,天皇，后妃を決める際，越道君伊羅都売を嬪とする〔日本書紀〕.,天皇，后妃を決める際，越道君伊羅都売を嬪とする,,2
668,(天智7),7,,高麗の使，越路より調を進上〔日本書紀〕.,高麗の使，越路より調を進上,,2
668,(天智7),7,,越国，燃える土・燃える水を献上〔日本書紀〕.,越国，燃える土・燃える水を献上,,2
668,(天智7),,,この年中臣鎌足，勅を奉じて近江令を選定し，ほぼその業終わる.,この年中臣鎌足，勅を奉じて近江令を選定し，ほぼその業終わる.,,2
669,(天智8),10,15,天智天皇，中臣鎌足に大織冠と大臣の位を授け，藤原の姓を与える.,天智天皇，中臣鎌足に大織冠と大臣の位を授け，藤原の姓を与える.,,2
670,(天智9),2,,戸籍（庚午年籍）を作る.,戸籍（庚午年籍）を作る.,,2
671,(天智10),10,17,病床の天智天皇(12月3日死去)，後事を弟の大海人皇子に託すが，皇子は固辞し，出家.,病床の天智天皇(12月3日死去)，後事を弟の大海人皇子に託すが，皇子は固辞し，出家.,,2
672,(天武1),7,2,壬申の乱.近江将軍羽田公矢国，一族を率いて天武方に降り，将軍に任じられて越に入る〔日本書紀〕.,壬申の乱.近江将軍羽田公矢国，一族を率いて天武方に降り，将軍に任じられて越に入る,,2
673,(天武2),2,27,大海人皇子，飛鳥浄御原宮で即位（天武天皇）.,大海人皇子，飛鳥浄御原宮で即位（天武天皇）.,,2
673,(天武2),,,この年飛鳥寺に封1700戸（うち越前150戸）を入れる〔新抄格勅符抄・元興寺資財帳〕.,この年飛鳥寺に封1700戸（うち越前150戸）を入れる,,2
674,(天武3),,,,0,,2
675,(天武4),2,9,若狭国など13か国に歌の上手な男女・侏儒・伎人を選んで貢上するようにとの勅が出る〔日本書紀〕.,若狭国など13か国に歌の上手な男女・侏儒・伎人を選んで貢上するようにとの勅が出る,,2
676,(天武5),1,25,国司任用の位階を定める.,国司任用の位階を定める.,,2
677,(天武6),,,,0,,2
678,(天武7),10,26,文武官人の業績を考査し進階させることとする.,文武官人の業績を考査し進階させることとする.,,2
679,(天武8),10,13,僧尼の威儀・法服の色などを定める.,僧尼の威儀・法服の色などを定める.,,2
680,(天武9),11,12,天武天皇，皇后の病気のため，薬師寺建立を発願し，100人を得度させる.,天武天皇，皇后の病気のため，薬師寺建立を発願し，100人を得度させる.,,2
681,(天武10),2,25,律令(飛鳥浄御原律令)の編さんを開始.,律令(飛鳥浄御原律令)の編さんを開始.,,2
682,(天武11),4,22,越の蝦夷伊高岐那らの立郡を許す〔日本書紀〕.,越の蝦夷伊高岐那らの立郡を許す,,2
682,(天武11),6,11,泰澄，麻生津(浅水)で誕生と伝える〔泰澄和尚伝〕.,泰澄，麻生津(浅水)で誕生と伝える,,2
682,(天武11),8,11,潅頂幡のようなものが空に浮かび北方に流れて越の海に入るという〔日本書紀〕.,潅頂幡のようなものが空に浮かび北方に流れて越の海に入るという,,2
683,(天武12),3,2,僧正・僧都・律師を任じ，僧尼を統轄させる.,僧正・僧都・律師を任じ，僧尼を統轄させる.,,2
684,(天武13),10,1,真人・朝臣・宿禰・忌寸・道師・臣・連・稲置の八色の姓を制定.,真人・朝臣・宿禰・忌寸・道師・臣・連・稲置の八色の姓を制定.,,2
684,(天武13),10,,八色の姓により，三国公は「真人」とされる〔日本書紀〕.,八色の姓により，三国公は「真人」とされる,,2
685,(天武14),9,15,使を諸道に派遣し，地方政治や民状を視察させる.,使を諸道に派遣し，地方政治や民状を視察させる.,,2
686,朱鳥1,9,9,天武天皇，死去.皇后鸕野讃良皇女，称制.,天武天皇，死去.皇后鸕野讃良皇女，称制.,,2
687,(持統1),,,,0,,2
688,(持統2),,,,0,,2
689,(持統3),1,9,越蝦夷の沙門道信に仏像などを与える〔日本書紀〕.,越蝦夷の沙門道信に仏像などを与える,,2
689,(持統3),6,29,諸司に飛鳥浄御原令を分ち与える.,諸司に飛鳥浄御原令を分ち与える.,,2
689,(持統3),7,23,越の蝦夷の八釣魚らにものを与える〔日本書紀〕.,越の蝦夷の八釣魚らにものを与える,,2
690,(持統4),1,1,鸕野讃良皇女，即位（持統天皇）.,鸕野讃良皇女，即位（持統天皇）.,,2
690,(持統4),9,1,戸令により戸籍の庚寅年籍を作らせる.,戸令により戸籍の庚寅年籍を作らせる.,,2
691,(持統5),3,22,戸籍のため良民・賤民の基準を定める.,戸籍のため良民・賤民の基準を定める.,,2
692,(持統6),9,21,越前国司，白蛾を献上〔日本書紀〕.,越前国司，白蛾を献上,,2
692,(持統6),9,26,白蛾を角鹿郡浦上の浜で獲えたことで，笥飯(気比)神に封20戸を加増〔日本書紀〕.,白蛾を角鹿郡浦上の浜で獲えたことで，笥飯(気比)神に封20戸を加増,,2
692,(持統6),,,この年道昭，北陸道修行時に泰澄を見，父母に神童だから特に崇敬を加えるようにと言ったと伝える〔泰澄和尚伝〕.,この年道昭，北陸道修行時に泰澄を見，父母に神童だから特に崇敬を加えるようにと言ったと伝える,,2
693,(持統7),,,,0,,2
694,(持統8),12,6,藤原京に遷都.,藤原京に遷都.,,2
695,(持統9),,,この年泰澄，毎夜十一面観音の夢告をうけ，冬より越知峰の坂本の巖屋に通い礼拝したと伝える〔泰澄和尚伝〕.,この年泰澄，毎夜十一面観音の夢告をうけ，冬より越知峰の坂本の巖屋に通い礼拝したと伝える,,2
696,(持統10),3,12,越の度嶋の蝦夷伊奈理武志らに錦袍袴などを与える〔日本書紀〕.,越の度嶋の蝦夷伊奈理武志らに錦袍袴などを与える,,2
697,(文武1),8,1,持統天皇，譲位.軽皇子，即位(文武天皇).,持統天皇，譲位.軽皇子，即位(文武天皇).,,2
698,(文武2),8,19,藤原の姓を不比等に継がせ，他は旧姓の中臣に戻す.,藤原の姓を不比等に継がせ，他は旧姓の中臣に戻す.,,2
699,(文武3),10,27,巡察使を諸国に派遣.,巡察使を諸国に派遣.,,2
700,(文武4),6,17,刑部親王・藤原不比等・道君首名ら19人に律令を選定させる〔続日本紀〕.,刑部親王・藤原不比等・道君首名ら19人に律令を選定させる,,2
701,大宝1,6,1,道君首名に僧尼令を大安寺で説明させる〔続日本紀〕.,道君首名に僧尼令を大安寺で説明させる,,2
701,大宝1,8,3,大宝律令完成.,大宝律令完成.,,2
701,大宝1,8,21,越前国など17か国に蝗・風害あり，家屋・作物に被害〔続日本紀〕.,越前国など17か国に蝗・風害あり，家屋・作物に被害,,2
702,大宝2,1,7,気比社の津村宮柱神殿天倉・門屋・垣など建造と伝える〔気比宮社記〕.,気比社の津村宮柱神殿天倉・門屋・垣など建造と伝える,,2
702,大宝2,8,4,足仲彦(仲衷)天皇と皇后気長足姫(神功皇后)を笥飯(気比)神宮に勧請と伝える〔気比宮社記〕.,足仲彦(仲衷)天皇と皇后気長足姫(神功皇后)を笥飯(気比)神宮に勧請と伝える,,2
702,大宝2,,,この年宮柱を建てたと伝える〔気比宮社記〕.／敦賀郡大領角鹿小海の敷地に気比神遷坐と伝える〔気比宮社記〕.／泰澄，鎮護国家の法師になったと伝える〔泰澄和尚伝〕.／能登島から小沙弥が来て泰澄に仕え，臥行者と呼ばれたと伝える〔泰澄和尚伝〕.,この年宮柱を建てたと伝える,,2
703,大宝3,1,2,七道に使者を派遣し，政績を巡省.寃枉(不正)を申理させる.北陸道には高向大足を派遣〔続日本紀〕.,七道に使者を派遣し，政績を巡省.寃枉(不正)を申理させる.北陸道には高向大足を派遣,,2
703,大宝3,,,この年気比社の常宮造立と伝える〔気比宮社記〕.,この年気比社の常宮造立と伝える,,2
704,慶雲1,4,9,鍛冶司に諸国の印を作らせる.,鍛冶司に諸国の印を作らせる.,,2
705,慶雲2,4,11,三品刑部親王に越前の野100町を与える〔続日本紀〕.,三品刑部親王に越前の野100町を与える,,2
705,慶雲2,9,26,越前国，赤烏を献上.祥瑞として授位・免税など行う〔続日本紀〕.,越前国，赤烏を献上.祥瑞として授位・免税など行う,,2
706,慶雲3,8,3,越前国の山火事やまず.使を派遣して部内の神に奉幣〔続日本紀〕.,越前国の山火事やまず.使を派遣して部内の神に奉幣,,2
707,慶雲4,2,25,高志村君に従五位下を授ける〔続日本紀〕.,高志村君に従五位下を授ける,,2
708,和銅1,3,13,高志村君を越前守に任じる〔続日本紀〕.,高志村君を越前守に任じる,,2
708,和銅1,3,22,大宰帥・三関国守らに初めて傔仗を与える.三関国守には2人〔続日本紀〕.,大宰帥・三関国守らに初めて傔仗を与える.三関国守には2人,,2
708,和銅1,5,11,銀銭和銅開珎を用いる.,銀銭和銅開珎を用いる.,,2
708,和銅1,8,10,銅銭和銅開珎を用いる.,銅銭和銅開珎を用いる.,,2
708,和銅1,,,この年山背(山城)国愛宕郡の戸主川造石弓の戸口3人，越前国へ逃亡〔大1-505〕.,この年山背(山城)国愛宕郡の戸主川造石弓の戸口3人，越前国へ逃亡,,2
709,和銅2,3,5,越前・越中など7か国から兵を徴発して陸奥・越後両国の蝦夷を制圧させる〔続日本紀〕.,越前・越中など7か国から兵を徴発して陸奥・越後両国の蝦夷を制圧させる,,2
709,和銅2,7,1,蝦夷制圧のため，諸国に命じて兵器を出羽柵に運送させる〔続日本紀〕.,蝦夷制圧のため，諸国に命じて兵器を出羽柵に運送させる,,2
709,和銅2,7,13,越前・越中・越後・佐渡の4か国に，船100艘を征狄所に送らせる〔続日本紀〕.,越前・越中・越後・佐渡の4か国に，船100艘を征狄所に送らせる,,2
709,和銅2,9,26,越前など10か国の兵士で50日以上の征役を経たものに1年の免税措置をとる〔続日本紀〕.,越前など10か国の兵士で50日以上の征役を経たものに1年の免税措置をとる,,2
709,和銅2,,,この年山背国愛宕郡の秦人広幡土方，越前国へ逃亡〔大1-505〕.,この年山背国愛宕郡の秦人広幡土方，越前国へ逃亡,,2
710,和銅3,3,10,平城京に遷都.,平城京に遷都.,,2
710,和銅3,,,この年山背国愛宕郡の戸主秦倉人安麻呂と戸主秦人広幡真君の戸口計3人，越前国へ逃亡〔大1-505〕.,この年山背国愛宕郡の戸主秦倉人安麻呂と戸主秦人広幡真君の戸口計3人，越前国へ逃亡,,2
711,和銅4,10,23,位禄を銭と絁などで支給し，蓄銭叙位の法を定め，私鋳銭を厳禁.,位禄を銭と絁などで支給し，蓄銭叙位の法を定め，私鋳銭を厳禁.,,2
711,和銅4,,,この年山背国愛宕郡の出雲臣族孫売，越前国加賀郡へ逃亡〔大1-505〕.,この年山背国愛宕郡の出雲臣族孫売，越前国加賀郡へ逃亡,,2
712,和銅5,1,28,太安万侶，『古事記』を選上.,太安万侶，『古事記』を選上.,,2
712,和銅5,7,15,越前など21か国に初めて綾錦を織らせる〔続日本紀〕.,越前など21か国に初めて綾錦を織らせる,,2
712,和銅5,9,19,道首名を遣新羅大使に任じる〔続日本紀〕.,道首名を遣新羅大使に任じる,,2
712,和銅5,9,29,三関国の人を帳内・資人に取ることを禁じる〔続日本紀〕.,三関国の人を帳内・資人に取ることを禁じる,,2
712,和銅5,,,この年山背国愛宕郡の戸主錦部袮麻呂と戸主秦人広幡真君の戸口計6人，越前国へ逃亡〔大1-505〕.／出羽からの官米を運ぶ船の船頭の神部浄定，泰澄に帰依したと伝える〔泰澄和尚伝〕.,この年山背国愛宕郡の戸主錦部袮麻呂と戸主秦人広幡真君の戸口計6人，越前国へ逃亡,,2
713,和銅6,5,2,諸国の郡郷名に好き字をあて，物産，山川原野の名号の由来，旧聞異事などを記した風土記選進の命が下される.,諸国の郡郷名に好き字をあて，物産，山川原野の名号の由来，旧聞異事などを記した風土記選進の命が下される.,,2
713,和銅6,5,11,若狭国に樊石を進献させる〔続日本紀〕.,若狭国に樊石を進献させる,,2
713,和銅6,8,10,道首名，新羅から帰る〔続日本紀〕.,道首名，新羅から帰る,,2
713,和銅6,8,26,道首名を筑後守に任じる〔続日本紀〕.,道首名を筑後守に任じる,,2
713,和銅6,,,この年勅により「角鹿」を「敦賀」と改めたと伝える〔気比宮社記〕.,この年勅により「角鹿」を「敦賀」と改めたと伝える,,2
714,和銅7,,,,0,,2
715,霊亀1,5,25,越前など5か国，飢饉により賑貸〔続日本紀〕.,越前など5か国，飢饉により賑貸,,2
715,霊亀1,,,この年藤原武智麻呂，気比神の夢告により越前国に気比神宮寺を建立〔藤原武智麻呂伝〕.,この年藤原武智麻呂，気比神の夢告により越前国に気比神宮寺を建立,,2
716,霊亀2,9,23,越前など4か国の百姓各100戸を出羽国に配することにする〔続日本紀〕.,越前など4か国の百姓各100戸を出羽国に配することにする,,2
716,霊亀2,,,この年泰澄，貴女(白山神)の夢告をうけたと伝える〔泰澄和尚伝〕.,この年泰澄，貴女(白山神)の夢告をうけたと伝える,,2
717,養老1,2,26,越前など4か国の百姓各100戸を出羽柵戸に配する〔続日本紀〕.,越前など4か国の百姓各100戸を出羽柵戸に配する,,2
717,養老1,4,1,泰澄，白山麓の隅笞川東伊野原に来宿，東の林泉で伊弉諾(伊弉冊ヵ)尊を感得(この後，白山天嶺の禅定で十一面観音が現われ，さらに左右の孤峰で神を感得し，そこに居住し苦行した)と伝える〔泰澄和尚伝〕.,泰澄，白山麓の隅笞川東伊野原に来宿，東の林泉で伊弉諾(伊弉冊ヵ)尊を感得(この後，白山天嶺の禅定で十一面観音が現われ，さらに左右の孤峰で神を感得し，そこに居住し苦行した)と伝える,,2
717,養老1,9,11,元正天皇，美濃国を訪問〔続日本紀〕.,元正天皇，美濃国を訪問,,2
717,養老1,9,18,東海道は相模以西，東山道は信濃以西，北陸道は越中以西の諸国司ら，美濃の行在所に来て，風俗の雑伎を奏する〔続日本紀〕.,東海道は相模以西，東山道は信濃以西，北陸道は越中以西の諸国司ら，美濃の行在所に来て，風俗の雑伎を奏する,,2
718,養老2,4,11,道首名，死去〔続日本紀〕.,道首名，死去,,2
718,養老2,5,2,越前国の羽咋・能登・鳳至・珠洲4郡を割いて，初めて能登国を置く〔続日本紀〕.,越前国の羽咋・能登・鳳至・珠洲4郡を割いて，初めて能登国を置く,,2
718,養老2,5,11,三関国および大宰・陸奥などの国司が傔仗に白丁を取ることを禁じる〔続日本紀〕.,三関国および大宰・陸奥などの国司が傔仗に白丁を取ることを禁じる,,2
719,養老3,7,9,東海・東山・北陸道の民200戸を出羽柵に配する〔続日本紀〕.,東海・東山・北陸道の民200戸を出羽柵に配する,,2
719,養老3,7,13,初めて按察使を置き，越前国守正五位下多治比広成が能登・越中・越後の3国を管轄する〔続日本紀〕.,初めて按察使を置き，越前国守正五位下多治比広成が能登・越中・越後の3国を管轄する,,2
719,養老3,10,14,諸国の軍団・兵士数を削減するが，志摩・若狭・淡路の3か国の兵士は廃止〔続日本紀〕.,諸国の軍団・兵士数を削減するが，志摩・若狭・淡路の3か国の兵士は廃止,,2
720,養老4,5,21,舎人親王ら，『日本書紀』30巻系図1巻を成し，奏上.,舎人親王ら，『日本書紀』30巻系図1巻を成し，奏上.,,2
720,養老4,11,26,越前国などの6か国の征卒および廝馬従などの調庸ならびに房戸の租を免じる〔続日本紀〕.,越前国などの6か国の征卒および廝馬従などの調庸ならびに房戸の租を免じる,,2
721,養老5,8,19,佐渡を越前の按察使に管轄させる〔続日本紀〕.,佐渡を越前の按察使に管轄させる,,2
721,養老5,12,7,元正天皇死去により，三関を固守させる〔続日本紀〕.,元正天皇死去により，三関を固守させる,,2
722,養老6,8,29,若狭・越前などの19か国の国司が使となり入京する際，初めて駅馬の使用を許す〔続日本紀〕.,若狭・越前などの19か国の国司が使となり入京する際，初めて駅馬の使用を許す,,2
722,養老6,,,この秋7・8月に元正天皇病気.勅命で泰澄上京し，元正天皇の病気を直して護持僧となり，禅師位を与えられ神融禅師と名のったと伝える〔泰澄和尚伝〕.,この秋7・8月に元正天皇病気.勅命で泰澄上京し，元正天皇の病気を直して護持僧となり，禅師位を与えられ神融禅師と名のったと伝える,,2
722,養老6,9,22,越前などの8か国に初めて調銭を納めさせる〔続日本紀〕.,越前などの8か国に初めて調銭を納めさせる,,2
723,養老7,4,17,三世一身の法を定め，田地開墾を奨励.,三世一身の法を定め，田地開墾を奨励.,,2
723,養老7,,,この年興福寺内に施薬院・悲田院を建てる際に越前国の稲13万束を施入〔扶桑略記〕.,この年興福寺内に施薬院・悲田院を建てる際に越前国の稲13万束を施入,,2
724,神亀1,3,1,配流の遠近を定める.越前は近流の地とする〔続日本紀〕.,配流の遠近を定める.越前は近流の地とする,,2
725,神亀2,7,17,国家平安のため，諸寺に金光明経または最勝王経を読ませる.・この年泰澄，白山に参詣した行基と会ったと伝える〔泰澄和尚伝〕.,国家平安のため，諸寺に金光明経または最勝王経を読ませる.・この年泰澄，白山に参詣した行基と会ったと伝える,,2
726,神亀3,8,30,若狭・越前など12か国の新任国司には，赴任する日に，伝符は給さず食を給することとする〔続日本紀〕.,若狭・越前など12か国の新任国司には，赴任する日に，伝符は給さず食を給することとする,,2
726,神亀3,,,この年参議藤原房前，授刀長官となり近江若狭按察使を兼任〔公卿補任〕.,この年参議藤原房前，授刀長官となり近江若狭按察使を兼任,,2
727,神亀4,,,この年参議藤原房前，兼近江若狭按察使とみえる〔公卿補任〕.,この年参議藤原房前，兼近江若狭按察使とみえる,,2
728,神亀5,3,28,罪を犯した資人は，決杖の後本色に還すが，三関国などから補充することを禁じる〔続日本紀〕.,罪を犯した資人は，決杖の後本色に還すが，三関国などから補充することを禁じる,,2
729,天平1,2,10,長屋王の変により三関を固守〔続日本紀〕.,長屋王の変により三関を固守,,2
